Attribute Code	Attribute	Access Profile	Access Type	Can access volume?	Can download single page?	Can download multiple pages?	Can view multiple plaintext?
10	cc-by-3.0	google	enhanced_text_user	allow	allow	allow	deny
11	cc-by-nd-3.0	google	enhanced_text_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	google	enhanced_text_user	allow	allow	allow	deny
13	cc-by-nc-3.0	google	enhanced_text_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	google	enhanced_text_user	allow	allow	allow	deny
15	cc-by-sa-3.0	google	enhanced_text_user	allow	allow	allow	deny
17	cc-zero	google	enhanced_text_user	allow	allow	allow	deny
20	cc-by-4.0	google	enhanced_text_user	allow	allow	allow	deny
21	cc-by-nd-4.0	google	enhanced_text_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	google	enhanced_text_user	allow	allow	allow	deny
23	cc-by-nc-4.0	google	enhanced_text_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	google	enhanced_text_user	allow	allow	allow	deny
25	cc-by-sa-4.0	google	enhanced_text_user	allow	allow	allow	deny
1	pd	open	enhanced_text_user	allow	allow	allow	deny
7	ic-world	open	enhanced_text_user	allow	allow	allow	deny
9	pdus	open	enhanced_text_user	allow	allow	allow	deny
10	cc-by-3.0	open	enhanced_text_user	allow	allow	allow	deny
11	cc-by-nd-3.0	open	enhanced_text_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	open	enhanced_text_user	allow	allow	allow	deny
13	cc-by-nc-3.0	open	enhanced_text_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	open	enhanced_text_user	allow	allow	allow	deny
17	cc-zero	open	enhanced_text_user	allow	allow	allow	deny
19	icus	open	enhanced_text_user	allow	allow	allow	deny
20	cc-by-4.0	open	enhanced_text_user	allow	allow	allow	deny
21	cc-by-nd-4.0	open	enhanced_text_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	open	enhanced_text_user	allow	allow	allow	deny
23	cc-by-nc-4.0	open	enhanced_text_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	open	enhanced_text_user	allow	allow	allow	deny
25	cc-by-sa-4.0	open	enhanced_text_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	page	enhanced_text_user	allow	allow	allow	deny
13	cc-by-nc-3.0	page	enhanced_text_user	allow	allow	allow	deny
17	cc-zero	page	enhanced_text_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	page	enhanced_text_user	allow	allow	allow	deny
1	pd	google	enhanced_text_user	allow	allow	deny	deny
7	ic-world	google	enhanced_text_user	allow	allow	deny	deny
9	pdus	google	enhanced_text_user	allow	allow	deny	deny
19	icus	google	enhanced_text_user	allow	allow	deny	deny
1	pd	page	enhanced_text_user	allow	allow	deny	deny
7	ic-world	page	enhanced_text_user	allow	allow	deny	deny
9	pdus	page	enhanced_text_user	allow	allow	deny	deny
18	und-world	page+lowres	enhanced_text_user	allow	allow	deny	deny
2	ic	google	enhanced_text_user	allow	deny	deny	deny
3	op	google	enhanced_text_user	allow	deny	deny	deny
5	und	google	enhanced_text_user	allow	deny	deny	deny
8	nobody	google	enhanced_text_user	deny	deny	deny	deny
26	pd-pvt	google	enhanced_text_user	deny	deny	deny	deny
27	supp	google	enhanced_text_user	deny	deny	deny	deny
2	ic	open	enhanced_text_user	allow	deny	deny	deny
3	op	open	enhanced_text_user	allow	deny	deny	deny
5	und	open	enhanced_text_user	allow	deny	deny	deny
8	nobody	open	enhanced_text_user	deny	deny	deny	deny
26	pd-pvt	open	enhanced_text_user	deny	deny	deny	deny
27	supp	open	enhanced_text_user	deny	deny	deny	deny
2	ic	page	enhanced_text_user	allow	deny	deny	deny
5	und	page	enhanced_text_user	allow	deny	deny	deny
8	nobody	page	enhanced_text_user	deny	deny	deny	deny
