Attribute Code	Attribute	Access Profile	Access Type	Can access volume?	Can download single page?	Can download multiple pages?	Can view multiple plaintext?
1	pd	open	ht_total_user	allow	allow	allow	deny
1	pd	google	ht_total_user	allow	allow	allow	deny
1	pd	page	ht_total_user	allow	allow	allow	deny
2	ic	open	ht_total_user	allow	allow	deny	deny
2	ic	google	ht_total_user	allow	allow	deny	deny
2	ic	page	ht_total_user	allow	allow	deny	deny
3	op	open	ht_total_user	allow	allow	deny	deny
3	op	google	ht_total_user	allow	allow	deny	deny
5	und	open	ht_total_user	allow	allow	deny	deny
5	und	google	ht_total_user	allow	allow	deny	deny
5	und	page	ht_total_user	allow	allow	deny	deny
7	ic-world	open	ht_total_user	allow	allow	allow	deny
7	ic-world	google	ht_total_user	allow	allow	allow	deny
7	ic-world	page	ht_total_user	allow	allow	allow	deny
8	nobody	open	ht_total_user	allow	allow	deny	deny
8	nobody	google	ht_total_user	allow	allow	deny	deny
8	nobody	page	ht_total_user	allow	allow	deny	deny
9	pdus	open	ht_total_user	allow	allow	allow	deny
9	pdus	google	ht_total_user	allow	allow	allow	deny
9	pdus	page	ht_total_user	allow	allow	allow	deny
10	cc-by-3.0	open	ht_total_user	allow	allow	allow	deny
10	cc-by-3.0	google	ht_total_user	allow	allow	allow	deny
11	cc-by-nd-3.0	open	ht_total_user	allow	allow	allow	deny
11	cc-by-nd-3.0	google	ht_total_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	open	ht_total_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	google	ht_total_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	page	ht_total_user	allow	allow	allow	deny
13	cc-by-nc-3.0	open	ht_total_user	allow	allow	allow	deny
13	cc-by-nc-3.0	google	ht_total_user	allow	allow	allow	deny
13	cc-by-nc-3.0	page	ht_total_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	open	ht_total_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	google	ht_total_user	allow	allow	allow	deny
15	cc-by-sa-3.0	google	ht_total_user	allow	allow	allow	deny
17	cc-zero	open	ht_total_user	allow	allow	allow	deny
17	cc-zero	google	ht_total_user	allow	allow	allow	deny
17	cc-zero	page	ht_total_user	allow	allow	allow	deny
18	und-world	page+lowres	ht_total_user	allow	allow	allow	deny
19	icus	open	ht_total_user	allow	allow	allow	deny
19	icus	google	ht_total_user	allow	allow	allow	deny
20	cc-by-4.0	open	ht_total_user	allow	allow	allow	deny
20	cc-by-4.0	google	ht_total_user	allow	allow	allow	deny
21	cc-by-nd-4.0	open	ht_total_user	allow	allow	allow	deny
21	cc-by-nd-4.0	google	ht_total_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	open	ht_total_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	google	ht_total_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	page	ht_total_user	allow	allow	allow	deny
23	cc-by-nc-4.0	open	ht_total_user	allow	allow	allow	deny
23	cc-by-nc-4.0	google	ht_total_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	open	ht_total_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	google	ht_total_user	allow	allow	allow	deny
25	cc-by-sa-4.0	open	ht_total_user	allow	allow	allow	deny
25	cc-by-sa-4.0	google	ht_total_user	allow	allow	allow	deny
26	pd-pvt	open	ht_total_user	allow	allow	deny	deny
26	pd-pvt	google	ht_total_user	allow	allow	deny	deny
27	supp	open	ht_total_user	allow	allow	deny	deny
27	supp	google	ht_total_user	allow	allow	deny	deny
