Attribute Code	Attribute	Access Profile	Access Type	Can access volume?	Can download single page?	Can download multiple pages?	Can view multiple plaintext?
1	pd	open	in_library_user	allow	allow	allow	deny
1	pd	google	in_library_user	allow	allow	allow	deny
1	pd	page	in_library_user	allow	allow	deny	deny
2	ic	open	in_library_user	deny	deny	deny	deny
2	ic	google	in_library_user	deny	deny	deny	deny
2	ic	page	in_library_user	deny	deny	deny	deny
3	op	open	in_library_user	allow_by_held_BRLM	allow	deny	deny
3	op	google	in_library_user	allow_by_held_BRLM	allow	deny	deny
5	und	open	in_library_user	deny	deny	deny	deny
5	und	google	in_library_user	deny	deny	deny	deny
5	und	page	in_library_user	deny	deny	deny	deny
7	ic-world	open	in_library_user	allow	allow	allow	deny
7	ic-world	google	in_library_user	allow	allow	allow	deny
7	ic-world	page	in_library_user	allow	allow	deny	deny
8	nobody	open	in_library_user	deny	deny	deny	deny
8	nobody	google	in_library_user	deny	deny	deny	deny
8	nobody	page	in_library_user	deny	deny	deny	deny
9	pdus	open	in_library_user	allow	allow	allow	deny
9	pdus	google	in_library_user	allow	allow	allow	deny
9	pdus	page	in_library_user	allow	allow	deny	deny
10	cc-by-3.0	open	in_library_user	allow	allow	allow	deny
10	cc-by-3.0	google	in_library_user	allow	allow	allow	deny
11	cc-by-nd-3.0	open	in_library_user	allow	allow	allow	deny
11	cc-by-nd-3.0	google	in_library_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	open	in_library_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	google	in_library_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	page	in_library_user	allow	allow	allow	deny
13	cc-by-nc-3.0	open	in_library_user	allow	allow	allow	deny
13	cc-by-nc-3.0	google	in_library_user	allow	allow	allow	deny
13	cc-by-nc-3.0	page	in_library_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	open	in_library_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	google	in_library_user	allow	allow	allow	deny
15	cc-by-sa-3.0	google	in_library_user	allow	allow	allow	deny
17	cc-zero	open	in_library_user	allow	allow	allow	deny
17	cc-zero	google	in_library_user	allow	allow	allow	deny
17	cc-zero	page	in_library_user	allow	allow	allow	deny
18	und-world	page+lowres	in_library_user	allow	allow	deny	deny
19	icus	open	in_library_user	deny	deny	deny	deny
19	icus	google	in_library_user	deny	deny	deny	deny
20	cc-by-4.0	open	in_library_user	allow	allow	allow	deny
20	cc-by-4.0	google	in_library_user	allow	allow	allow	deny
21	cc-by-nd-4.0	open	in_library_user	allow	allow	allow	deny
21	cc-by-nd-4.0	google	in_library_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	open	in_library_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	google	in_library_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	page	in_library_user	allow	allow	allow	deny
23	cc-by-nc-4.0	open	in_library_user	allow	allow	allow	deny
23	cc-by-nc-4.0	google	in_library_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	open	in_library_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	google	in_library_user	allow	allow	allow	deny
25	cc-by-sa-4.0	open	in_library_user	allow	allow	allow	deny
25	cc-by-sa-4.0	google	in_library_user	allow	allow	allow	deny
26	pd-pvt	open	in_library_user	deny	deny	deny	deny
26	pd-pvt	google	in_library_user	deny	deny	deny	deny
27	supp	open	in_library_user	deny	deny	deny	deny
27	supp	google	in_library_user	deny	deny	deny	deny
9	pdus	google	ssd_user - US	allow_us_aff_by_ipaddr	allow	deny	allow
9	pdus	page	ssd_user - US	allow_us_aff_by_ipaddr	allow	deny	allow
1	pd	open	um_affiliate	allow	allow	allow	deny
1	pd	google	um_affiliate	allow	allow	deny	deny
1	pd	page	um_affiliate	allow	allow	deny	deny
2	ic	open	um_affiliate	deny	deny	deny	deny
2	ic	google	um_affiliate	deny	deny	deny	deny
2	ic	page	um_affiliate	deny	deny	deny	deny
3	op	open	um_affiliate	deny	deny	deny	deny
3	op	google	um_affiliate	deny	deny	deny	deny
5	und	open	um_affiliate	deny	deny	deny	deny
5	und	google	um_affiliate	deny	deny	deny	deny
5	und	page	um_affiliate	deny	deny	deny	deny
7	ic-world	open	um_affiliate	allow	allow	allow	deny
7	ic-world	google	um_affiliate	allow	allow	deny	deny
7	ic-world	page	um_affiliate	allow	allow	deny	deny
8	nobody	open	um_affiliate	deny	deny	deny	deny
8	nobody	google	um_affiliate	deny	deny	deny	deny
8	nobody	page	um_affiliate	deny	deny	deny	deny
9	pdus	open	um_affiliate	allow	allow	allow	deny
9	pdus	google	um_affiliate	allow	allow	deny	deny
9	pdus	page	um_affiliate	allow	allow	deny	deny
10	cc-by-3.0	open	um_affiliate	allow	allow	allow	deny
10	cc-by-3.0	google	um_affiliate	allow	allow	allow	deny
11	cc-by-nd-3.0	open	um_affiliate	allow	allow	allow	deny
11	cc-by-nd-3.0	google	um_affiliate	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	open	um_affiliate	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	google	um_affiliate	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	page	um_affiliate	allow	allow	allow	deny
13	cc-by-nc-3.0	open	um_affiliate	allow	allow	allow	deny
13	cc-by-nc-3.0	google	um_affiliate	allow	allow	allow	deny
13	cc-by-nc-3.0	page	um_affiliate	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	open	um_affiliate	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	google	um_affiliate	allow	allow	allow	deny
15	cc-by-sa-3.0	google	um_affiliate	allow	allow	allow	deny
17	cc-zero	open	um_affiliate	allow	allow	allow	deny
17	cc-zero	google	um_affiliate	allow	allow	allow	deny
17	cc-zero	page	um_affiliate	allow	allow	allow	deny
18	und-world	page+lowres	um_affiliate	allow	allow	deny	deny
20	cc-by-4.0	open	um_affiliate	allow	allow	allow	deny
20	cc-by-4.0	google	um_affiliate	allow	allow	allow	deny
21	cc-by-nd-4.0	open	um_affiliate	allow	allow	allow	deny
21	cc-by-nd-4.0	google	um_affiliate	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	open	um_affiliate	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	google	um_affiliate	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	page	um_affiliate	allow	allow	allow	deny
23	cc-by-nc-4.0	open	um_affiliate	allow	allow	allow	deny
23	cc-by-nc-4.0	google	um_affiliate	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	open	um_affiliate	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	google	um_affiliate	allow	allow	allow	deny
25	cc-by-sa-4.0	open	um_affiliate	allow	allow	allow	deny
25	cc-by-sa-4.0	google	um_affiliate	allow	allow	allow	deny
26	pd-pvt	open	um_affiliate	deny	deny	deny	deny
26	pd-pvt	google	um_affiliate	deny	deny	deny	deny
27	supp	open	um_affiliate	deny	deny	deny	deny
27	supp	google	um_affiliate	deny	deny	deny	deny
19	icus	open	um_affiliate - NONUS	allow_by_nonus_geo_ipaddr	allow	allow	deny
19	icus	google	um_affiliate - NONUS	allow_by_nonus_geo_ipaddr	allow	deny	deny
19	icus	open	um_affiliate - US	deny	deny	deny	deny
19	icus	google	um_affiliate - US	deny	deny	deny	deny
