Attribute Code	Attribute	Access Profile	Access Type	Can access volume?	Can download single page?	Can download multiple pages?	Can view multiple plaintext?
1	pd	open	ssd_proxy_user	allow	allow	allow	deny
1	pd	google	ssd_proxy_user	allow	allow	allow	deny
1	pd	page	ssd_proxy_user	allow	allow	allow	deny
2	ic	open	ssd_proxy_user	allow	allow	allow	deny
2	ic	google	ssd_proxy_user	allow	allow	allow	deny
2	ic	page	ssd_proxy_user	allow	allow	allow	deny
3	op	open	ssd_proxy_user	allow	allow	allow	deny
3	op	google	ssd_proxy_user	allow	allow	allow	deny
5	und	open	ssd_proxy_user	allow	allow	allow	deny
5	und	google	ssd_proxy_user	allow	allow	allow	deny
5	und	page	ssd_proxy_user	allow	allow	allow	deny
7	ic-world	open	ssd_proxy_user	allow	allow	allow	deny
7	ic-world	google	ssd_proxy_user	allow	allow	allow	deny
7	ic-world	page	ssd_proxy_user	allow	allow	allow	deny
9	pdus	open	ssd_proxy_user	allow	allow	allow	deny
9	pdus	google	ssd_proxy_user	allow	allow	allow	deny
9	pdus	page	ssd_proxy_user	allow	allow	allow	deny
10	cc-by-3.0	open	ssd_proxy_user	allow	allow	allow	deny
10	cc-by-3.0	google	ssd_proxy_user	allow	allow	allow	deny
11	cc-by-nd-3.0	open	ssd_proxy_user	allow	allow	allow	deny
11	cc-by-nd-3.0	google	ssd_proxy_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	open	ssd_proxy_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	google	ssd_proxy_user	allow	allow	allow	deny
12	cc-by-nc-nd-3.0	page	ssd_proxy_user	allow	allow	allow	deny
13	cc-by-nc-3.0	open	ssd_proxy_user	allow	allow	allow	deny
13	cc-by-nc-3.0	google	ssd_proxy_user	allow	allow	allow	deny
13	cc-by-nc-3.0	page	ssd_proxy_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	open	ssd_proxy_user	allow	allow	allow	deny
14	cc-by-nc-sa-3.0	google	ssd_proxy_user	allow	allow	allow	deny
15	cc-by-sa-3.0	google	ssd_proxy_user	allow	allow	allow	deny
17	cc-zero	open	ssd_proxy_user	allow	allow	allow	deny
17	cc-zero	google	ssd_proxy_user	allow	allow	allow	deny
17	cc-zero	page	ssd_proxy_user	allow	allow	allow	deny
18	und-world	page+lowres	ssd_proxy_user	allow	allow	allow	deny
19	icus	open	ssd_proxy_user	allow	allow	allow	deny
19	icus	google	ssd_proxy_user	allow	allow	allow	deny
20	cc-by-4.0	open	ssd_proxy_user	allow	allow	allow	deny
20	cc-by-4.0	google	ssd_proxy_user	allow	allow	allow	deny
21	cc-by-nd-4.0	open	ssd_proxy_user	allow	allow	allow	deny
21	cc-by-nd-4.0	google	ssd_proxy_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	open	ssd_proxy_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	google	ssd_proxy_user	allow	allow	allow	deny
22	cc-by-nc-nd-4.0	page	ssd_proxy_user	allow	allow	allow	deny
23	cc-by-nc-4.0	open	ssd_proxy_user	allow	allow	allow	deny
23	cc-by-nc-4.0	google	ssd_proxy_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	open	ssd_proxy_user	allow	allow	allow	deny
24	cc-by-nc-sa-4.0	google	ssd_proxy_user	allow	allow	allow	deny
25	cc-by-sa-4.0	open	ssd_proxy_user	allow	allow	allow	deny
25	cc-by-sa-4.0	google	ssd_proxy_user	allow	allow	allow	deny
8	nobody	open	ssd_proxy_user	deny	deny	deny	deny
8	nobody	google	ssd_proxy_user	deny	deny	deny	deny
8	nobody	page	ssd_proxy_user	deny	deny	deny	deny
26	pd-pvt	open	ssd_proxy_user	deny	deny	deny	deny
26	pd-pvt	google	ssd_proxy_user	deny	deny	deny	deny
27	supp	open	ssd_proxy_user	deny	deny	deny	deny
27	supp	google	ssd_proxy_user	deny	deny	deny	deny
